trialId,publicTitle,secondaryId,scientificTitle,inclusionCriteria,exclusionCriteria,interventions,primarySponsor,healthConditions,publicContactAffiliation,scientificContactAffiliation
NCT02854176,Somatosensory Stimulation in Knee Osteoarthritis,Somatosensory stimulation;,Somatosensory Electrical Stimulation to Improve Motor Control in Patients Suffering From Knee Osteoarthritis,"•	Teilnehmer müssen zwischen 45 und 75 Jahre alt sein.
•	Teilnehmer haben einseitige Kniearthrose.
•	Teilnehmer haben einen Termin für eine totale Kniearthroplastik (TKA)
•	Teilnehmer haben leichte bis mittlere Schmerzen am betroffenen Knie","•	Teilnehmer haben Schmerzen oder hatten frühere Operationen an unteren Extremitäten, ausser Schmerzen am betroffenen Knie.
•	Teilnehmer haben Störungen, welche die visuomotorische Koordination negative beeinflussen
•	BMI > 35 kg/m2",Procedure: Control<br>Procedure: Somatosensory electrical stimulation<br>,Menno Veldman,"Osteoarthritis, Knee<br>",nan,nan
NCT02854605,"Evaluating the Safety, Tolerability, and Efficacy of GS-9674 in Participants With Nonalcoholic Steatohepatitis (NASH)",2016-002496-10;GS-US-402-1852,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Safety, Tolerability, and Efficacy of GS-9674 in Subjects With Nonalcoholic Steatohepatitis (NASH)","- Erfüllt alle der folgenden Bedingungen:
   a.	Klinische Diagnose einer nichtalkoholischen Fettlebererkrankung  
   b.	hepatischer Steatose
   c.	Lebersteifigkeit 
- Thrombozytenzahl ≥ 150'000/mm3
- Albumin ≥ 3.3 g/dL;
- Kreatinin-Clearance (CLcr) ≥ 90 ml/min;","- Schwangere oder stillende Frauen
- ALT Blutwert erhöht (mehr als 5 x obere Normalgrenze)
- Andere Ursachen für eine Lebererkrankung, einschliesslich autoimmuner, viraler und alkoholischer Lebererkrankung
- Zirrhose der Leber 
-  Body Mass Index < 18 kg/m2
- Unkontrollierter Diabetes mellitus (Hämoglobin A1c> 9% beim Screening);
- INR Wert > 1,2 (ausser unter antikoagulanter Therapie)
- Gesamtbilirubin erhöht > 1 x obere Normalgrenze ONG",Drug: GS-9674;Drug: Placebo to match GS-9674,Gilead Sciences,Nonalcoholic Steatohepatitis (NASH),Gilead Sciences,Gilead Sciences
NCT02854631,Selonsertib in Combination With Prednisolone Versus Prednisolone Alone in Participants With Severe Alcoholic Hepatitis (AH),2016-000821-37;GS-US-416-2124,"A Phase 2, Double-Blind, Randomized Study Evaluating the Safety, Tolerability, and Efficacy of GS-4997 in Combination With Prednisolone Versus Prednisolone Alone in Subjects With Severe Alcoholic Hepatitis (AH)","1)	Männer und nichtschwangere, nichtstillende Frauen im Alter von 18 bis 70 Jahren (einschliesslich), basierend auf dem Alter bei Screening;
2)	Bereitschaft und Fähigkeit, vor der Durchführung studienspezifischer Verfahren die Einwilligung zu erklären. Bei Patienten mit möglicherweise die Entscheidungsfähigkeit beeinträchtigender hepatischer Enzephalopathie (HE) erfolgt die Einholung der Einwilligung gemäss den im Krankenhaus üblichen Verfahren (z.B. vom gesetzlichen Vertreter);
3)	Klinische Diagnose einer schweren AH:
•	Maddrey DF ≥32 beim Screening","1)	Schwangere oder stillende Frauen;
2)	Andere Ursachen für Lebererkrankungen, einschliesslich chronischer Hepatitis B (Hepatitis-B-Oberflächenantigen [HBsAg] positiv), chronischer Hepatitis C (HCV-RNA positiv), Acetaminophen-Lebertoxizität, biliärer Obstruktion und autoimmuner Lebererkrankungen;
3)	Serum-AST >400 U/l oder ALT >300 E/l",Drug: Selonsertib;Drug: Prednisolone;Drug: Placebo,Gilead Sciences,Alcoholic Hepatitis (AH),Gilead Sciences,Gilead Sciences
NCT02858193,"Single Dose, Two-stage Bioequivalence Study of SCMC-Lys Salt 1.35 g Powder vs SCMC-Lys Salt 90 mg/mL Syrup",SCL0115,"Two-way Crossover, Randomised, Single Dose and Two-stage Bioequivalence Study of Carbocysteine-L-lysine Salt 1.35 g Powder for Oral Solution Formulation vs 90 mg/mL Syrup Formulation After Oral Administration to Healthy Volunteers.","1) dare l’assenso scritto e firmare il consenso informato prima che venga effettuata qualsiasi procedura prevista;
2) deve essere una donna o uomo di età compresa tra i 18-55 anni inclusi;
3) avere un indice di massa corporea compreso tra 18.5 kg/m2 e 30 kg/m2 inclusi;
4) avere segni vitali nei limiti della norma (ovvero pressione sistolica compresa tra 100 e 139 mmHg, diastolica compresa tra 50 e 89 mmHg e frequenza cardiaca compresa tra 50 e 90 battiti al minuto, temperatura corporea tra 35.5- 37.5 °C), misurati dopo 5 minuti di riposo in posizione seduta;
5) essere in grado di comprendere completamente la natura e lo scopo dello studio proposto, inclusi i possibili rischi ed eventi avversi ed essere in grado di collaborare con il medico Sperimentatore e di seguire le procedure previste durante tutta la durata dello studio;
6) tutte le donne fertili attive sessualmente devono utilizzare un metodo contraccettivo efficace e e non devono desiderare di rimanere gravide entro 30 giorni dalla fine dello studio. L’astinenza sessuale non è considerata metodo di contraccezione. I metodi contraccettivi accettabili includono: contraccettivi ormonali (orali, impianti, transdermici e iniettabili) da almeno 2 mesi prima dell’inizio dello studio fino a 30 giorni dalla fine dello studio ; contraccettivi non ormonali (spirali intrauterine, preservativi femminili con l’aggiunta di spermicida, spugne contraccettive, diaframmi o cappucci cervicali tutti con l’aggiunta di spermicida) da almeno 2 mesi prima dell’inizio dello studio fino a 30 giorni dalla fine dello studio; partner vasectomizzati o che usino il preservativo con l’aggiunta di spermicida. Il preservativo da solo non è considerato un metodo di contraccezione adeguato. Le donne sterili o in post-menopausa devono essere tali da almeno un anno. Tutte le donne dovranno risultare negative al test di gravidanza che sarà effettuato alla visita di screening e nel corso dello studio.","1) avere un elettrocardiogramma che presenti alterazioni clinicamente significative;
2) avere alterazioni delle condizioni fisiche clinicamente significative che possano interferire con lo svolgimento dello studio;
3) avere dei valori di laboratorio con alterazioni clinicamente significative e indicative di una condizione patologica concomitante;
4) soffrire o aver sofferto di ipersensibilità presunta o accertata al principio attivo (carbocisteina come sale di lisina) e/o agli eccipienti delle formulazioni, non deve aver avuto una storia di anafilassi ai farmaci (in particolare ai farmaci mucolitici) o reazioni allergiche in generale, che il medico Sperimentatore giudichi non compatibili con lo studio;
5) soffrire o avere sofferto di malattie renali, epatiche, gastrointestinali, cardiovascolari, polmonari (incluso l’asma), dermatologiche, ematologiche, endocrini, neurologiche e autoimmuni che possano interferire con lo svolgimento dello studio; neoplasie maligne in generale;
6) avere assunto farmaci, inclusi farmaci da banco (senza obbligo di prescrizione), farmaci (con particolare riferimento a farmaci contenenti carbocisteina sale di lisina, mucolitico a base di carbocisteina o acetilcisteina, mucolitici e mucoregolatori in generale), prodotti erboristici nelle 2 settimane precedenti la prima somministrazione. I contraccettivi ormonali sono ammessi. Lo sperimentatore verificherà che i farmaci da lei assunti non rientrino in questa categoria.
7) aver partecipato ad altri studi sperimentali sui farmaci nei sei mesi precedenti l’inizio dello studio, calcolati partendo dal primo giorno del mese successivo all’ultima visita dello studio precedente al primo giorno del presente studio (inteso come giorno di firma del consenso informato);
8) aver donato sangue nei 3 mesi precedenti l’inizio di questo studio;
9) far uso di stupefacenti, fare abuso d’alcool (non più di 1 bicchiere al giorno per le donne, non piu di 2 bicchieri al giorno per gli uomini), bere più di 5 tazze al giorno di bevande che contengono caffeina (quali caffè, tè), fumare piu’ di 6 sigarette al giorno;
10) essere positivo/a al test delle droghe alla visita di screening
11) essere positivo/a al test nel fiato per il consumo di alcool
12) seguire una dieta sbilanciata (<1.600 o >3.500 kcal/giorno) o avere avuto variazioni significative nelle abitudini alimentari nelle 4 settimane precedenti l’inizio di questo studio; essere vegetariano
13) essere positiva o non aver eseguito il test di gravidanza alla visita di screening e agli ingressi in clinica; esssre in stato di gravidanza o in allattamento",Drug: 1.35 g SCMC- lys powder;Drug: Fluifort® syrup,Dompé Farmaceutici S.p.A,Bronchitis,"CROSS Research S.A., Phase I Unit","CROSS Research S.A., Phase I Unit"
NCT02859844,Transcutaneous Tibial Nerve Stimulation for Treating Neurogenic Lower Urinary Tract Dysfunction,2016-01016,nan,"- Frauen und Männer
- Alter 18 Jahre oder älter
- Schriftliche Einwilligung der teilnehmenden Person 
- Letzte Urethro-Zystoskopie und Blasenspül-Zytologie innerhalb 1 Jahres
- Letzte urodynamische Untersuchung innnerhalb von 6 Monaten und keine Veränderungen in der Blasenmedikation
- Harnblasenfunktionsstörung aufgrund einer Erkrankung des Nervensystems, 
  welche bislang auf Medikamente nicht angesprochen hat: 
  - Starker Harndrang mit/oder ungewollter Urinverlust (Medikation mit mind. 2 
    Antimuskarinika für mind. 4 Wochen)
  - Unvollständige Entleerung der Harnblase (Medikation mit einem Alphablocker 
    während mind. 4 Wochen)
  - Kombination beider Störungen (Medikation mit mind. 2 Antimuskarinika 
    während mind. 4 Wochen und einem Alpha-Blocker für mind. 4 Wochen)
- Motorische Antwort auf die TTNS Stimulation an mindestens einem Bein","- Botulinum-A-Toxin Injektionen in den Blasenmuskel und/oder Schliessmuskel
  in den vergangenen 6 Monaten
- Neuromodulative Therapie in den letzten 6 Monaten oder aktuell
- Alter < 18 Jahre
- Schwangerschaft 
- Besonders schützenswerte/verletzliche Personen (Entsprechend den Richtlinien  
  über die Forschung am Menschen der schweizerischen Akademie der medizi-
  nischen Wissenschaften)
- Unfähigkeit der Patientin/des Patienten, den Versuchsverfahren zu folgen, z.B. 
  wegen Sprachproblemen, psychischen Erkrankungen, Demenz etc.",Device: Transcutaneous Tibial Nerve Stimulation (TTNS),University of Zurich,Neurogenic Bladder Dysfunction,nan,nan
NCT02860533,iPhone App Compared to Standard Riva-Rocci (RR)-Measurement During Stress Testing,2016-00871,iPhone App Compared to Standard RR-measurement During Stress Testing,"Patienten des Universitätsspitals Basel
1) bei denen eine Belastungsuntersuchung des Herzens geplant ist
2) volljährig
3) mündig
4) in der Lage, einen Consent zu geben","1) Minderjährig
2) Einwilligungsunfähig
3) Vorliegen von Vorhofflimmern zum Zeitpunkt der Messung
4) Medizinische Gründe, weshalb an den oberen Extremitäten kein Blutdruck gemessen werden sollte (Dialyse-Shunt, Lymphödem nach Axillarevision oder Venenthrombose)",Device: cuff device;Device: iphone,"University Hospital, Basel, Switzerland",Blood Pressure,"University Hospital, Basel, Switzerland","University Hospital, Basel, Switzerland"
NCT02861014,A Study of Ocrelizumab in Participants With Relapsing Remitting Multiple Sclerosis (RRMS) Who Have Had a Suboptimal Response to an Adequate Course of Disease-Modifying Treatment (DMT),2015-005597-38;MA30005,An Open-Label Study To Evaluate the Efficacy and Safety of Ocrelizumab in Patients With Relapsing Multiple Sclerosis Who Have A Suboptimal Response to an Adequate Course of Disease-Modifying Treatment,"Alter zwischen 18 und einschliesslich 55 Jahre;
Diagnose einer schubförmig remittierenden Multiplen Sklerose nach den 2010 geänderten McDonald-Kriterien; 
Krankheitsdauer von < 10 Jahren seit dem ersten Symptom. Falls das Datum des ersten Symptoms nicht bekannt ist, sollte die Diagnose einer schubförmig remittierenden MS ≤ 5 Jahre zurückliegen;","Sekundär-progrediente MS oder Vorgeschichte einer primär-progredienten oder schubförmig progredienten MS;
Undurchführbarkeit einer MRT-Untersuchung (Patienten mit Kontraindikation auf Gadolinium können in die Studie eingeschlossen werden aber keine Gadoliniumhaltige Kontrastmittel während der MRT-Untersuchung erhalten.);
Bekanntsein von anderen neurologischen Beeinträchtigungen
Schwangere oder stillende Frauen",Biological: Ocrelizumab,Hoffmann-La Roche,"Multiple Sclerosis, Relapsing-Remitting",Hoffmann-La Roche,Hoffmann-La Roche
NCT02861534,A Study of Vericiguat in Participants With Heart Failure With Reduced Ejection Fraction (HFrEF) (MK-1242-001),2016-000671-25;MK-1242-001;1242-001,"A Randomized Parallel-Group, Placebo-Controlled, Double-Blind, Event-Driven, Multi-Center Pivotal Phase III Clinical Outcome Trial of Efficacy and Safety of the Oral sGC Stimulator Vericiguat in Subjects With Heart Failure With Reduced Ejection Fraction (HFrEF) - VerICiguaT GlObal Study in Subjects With Heart Failure With Reduced EjectIon FrAction (VICTORIA)","1.	Patienten die eine chronische HI (NYHA Klasse II-IV) auf Basis von
        Standardtherapie vor der qualifizierenden HI-Dekompensation in der
        Anamnese haben.

2.	Patienten die innerhalb von 6 Monaten vor der Randomisierung wegen HI
        stationär aufgenommen worden sind oder innerhalb von 3 Monaten vor der
        Randomisierung Behandlung mit IV-Diuretika wegen HI (ohne stationäre
        Aufnahme) erhalten haben.

3.	Folgende natriuretische Peptid Typ B (BNP) oder N-terminale natriuretische
        proPeptid B (NT-proBNP) Spiegel innerhalb von 30 Tagen vor der
        Randomisierung haben:

	                   NT-proBNP	   BNP
Sinusrhythmus	≥ 1000 pg/mL	≥ 300 pg/mL
Vorhofflimmern	≥ 1600 pg/mL	≥ 500 pg/mL","1.	Zum Zeitpunkt der Randomisierung klinisch instabil, definiert durch:

a.	Verabreichung einer intravenösen Behandlung innerhalb von 24 Stunden vor
        der Randomisierung und/oder
b.	systolischer Blutdruck von <100 mmHg oder symptomatischer Hypotonus.

2.	Gleichzeitige oder geplante Einnahme von langwirksamen Nitraten oder
        NO-Spendern, einschließlich Isosorbid dinitrat, Isosorbid-5-Mononitrat,
        Pentaerythritoltetranitrat, Nicorandil oder transdermales
        Nitroglyzerinpflaster und Molsidomin (die Einnahme von kurzwirksamen
        Nitraten, z.B sublingualer Nitroglycerin Spray, zur Behandlung von Angina
        Attacken, ist erlaubt).

3.	Gleichzeitige oder geplante Einnahme von Phosphodiesterase Typ 5
        Hemmer, wie Vardenafil, Tadalafil und Sildenafil",Drug: Vericiguat;Drug: Placebo for vericiguat,Merck Sharp & Dohme Corp.,Heart Failure;Chronic Heart Failure With Reduced Ejection Fraction,Merck Sharp & Dohme Corp.;Canadian VIGOUR Centre - University of Alberta;Inova Heart and Vascular Institute;Charité University Medicine and German Heart Center,Merck Sharp & Dohme Corp.;Canadian VIGOUR Centre - University of Alberta;Inova Heart and Vascular Institute;Charité University Medicine and German Heart Center
NCT02863133,Prospective Study to Assess the Safety and Performance of the Easyx Antia Liquid Embolic in Intracranial Interventions,028;,"Prospective, Multicenter, Multinational Study to Assess the Safety and Performance of the Easyx Antia Liquid Embolic in Intracranial Interventions IDEALE Study","1.	Mindestalter 18 Jahre
2.	Vorliegen einer DAVF, die für eine endovaskuläre Behandlung ausgewählt wurde  
3.	Klinische und neurologische Stabilität des Patienten über einen Zeitraum von mindestens 48 Stunden vor der Embolisation","1.	Vorliegen einer arteriovenöser High-Flow-Fistel, die nach Ansicht des Prüfarztes ungeeignet für eine Embolisation ist.
2.	Akute Hirnblutung in den letzten 6 Monaten
3.	Frühere Behandlung der DAVF mit einem anderen Embolisationsmittel.",Device: Liquid Embolic<br>,Antia Therapeutics AG,Arterial Embolization<br>,nan,nan
NCT02864173,Whole Genome Single Nucleotide Polymorphisms in Elderly Patients With Postoperative Cognitive Dysfunction,GenPOCD,Whole Genome Single Nucleotide Polymorphisms in Elderly Patients With Postoperative Cognitive Dysfunction,"- Elective major surgical procedure under general anesthesia
- Age 65 or older","- Cardiac surgery
- Neurosurgery including carotid endarterectomy
- Any cranial surgery precluding use of NIRS or transcranial Doppler
- History of cerebrovascular disease
- Preoperative Mini Mental Examination Score <24
- Long-term psychiatric medication",Genetic: Whole genome small nucleotide polymorphism genotyping;Genetic: Whole genome small nucleotide polymorphism genotyping;Genetic: Whole genome small nucleotide polymorphism genotyping,"University Hospital, Basel, Switzerland",Postoperative Cognitive Dysfunction;Postoperative Cognitive Dysfunction;Postoperative Cognitive Dysfunction,"University Hospital, Basel, Switzerland;University Hospital, Basel, Switzerland;University Hospital, Basel, Switzerland;University Hospital, Basel, Switzerland;University Hospital, Basel, Switzerland;University Hospital, Basel, Switzerland","University Hospital, Basel, Switzerland;University Hospital, Basel, Switzerland;University Hospital, Basel, Switzerland;University Hospital, Basel, Switzerland;University Hospital, Basel, Switzerland;University Hospital, Basel, Switzerland"
NCT02864953,Phase 3 Study to Evaluate the Efficacy and Safety of Intravenous BIIB093 (Glibenclamide) for Severe Cerebral Edema Following Large Hemispheric Infarction,RPI 301;2017-004854-41;252LH301,"Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multicenter, Phase 3 Study to Evaluate the Efficacy and Safety of Intravenous BIIB093 (Glibenclamide) for Severe Cerebral Edema Following Large Hemispheric Infarction","- Una diagnosi clinica di ictus ischemico acuto nel territorio dell’arteria cerebrale media.- Età compresa tra 18 e 85 anni, compresi.
- Screening National Institutes of Health Stroke Scale (NIHSS) ≥10
- Infusione del trattamento dello studio entro 10 ore dall’insorgenza dei sintomi o dal visto sano l’ultima volta. 
- Prima del colpo attuale, nessuna disabilità significativa","1. Probabilità di ritiro di cure di supporto nel primo giorno.
2. Impegno per la craniectomia decompressiva  prima dell'arruolamento.
3. Evidenza di infarto concomitante nell'emisfero controlaterale sufficientemente serio da influire sull'esito funzionale.",Drug: BIIB093;Drug: Placebo,Biogen,"Brain Edema;Stroke, Acute",Biogen,Biogen
NCT02864992,Tepotinib Phase II in NSCLC Harboring MET Alterations (VISION),2015-005696-24;MS200095-0022,A Phase II Single-arm Trial to Investigate Tepotinib in Advanced (Locally Advanced or Metastatic) Non-small Cell Lung Cancer With METex14 Skipping Alterations or MET Amplification (VISION),"•	Vom Studienteilnehmer oder seinem gesetzlichen Betreuer unterzeichnete, schriftliche Einwilligungserklärung nach Aufklärung liegt vor, bevor eine studienspezifische Screeningmassnahme durchgeführt wird
•	Männlich oder weiblich, mindestens (>=) 18 Jahre alt (bzw. volljährig laut geltenden nationalen Gesetzen)
•	Messbare Erkrankung gemäss RECIST V 1.1
•	Leistungsstatus laut Eastern Cooperative Oncology Group (ECOG) 0 oder 1","•	Patienten mit beschriebenen epidermaler-Wachstumsfaktor-Rezeptor(EGFR)-aktivierenden Mutationen, die ein Ansprechen auf eine Anti-EGFR-Therapie vorhersagen
•	Patienten mit beschriebenen Genumlagerungen der anaplastischen Lymphom-Kinase (ALK), die ein Ansprechen auf eine Anti-ALK-Therapie vorhersagen
•	Aktive Hirnmetastasen
•	Jegliche noch vorhandene Toxizität vom Grad 2 oder höher aus vorangegangener Krebstherapie gemäss der allgemeinen Terminologiekriterien für unerwünschte Ereignisse des nationalen Krebsinstituts (National Cancer Institute Common Terminology Criteria for Adverse Events, NCI-CTCAE)
•	Notwendigkeit einer Transfusion innerhalb von 14 Tagen vor der ersten Dosis der Studienbehandlung
•	Vorherige Chemotherapie, biologische Therapie, Strahlentherapie oder Hormontherapie gegen Krebs, zielgerichtete Therapie oder eine andere in der Erprobung befindliche Krebstherapie (gilt nicht für palliative Strahlentherapie am Beschwerdeort) innerhalb von 21 Tagen vor der ersten Dosis der Studienbehandlung;",Drug: Tepotinib,"EMD Serono Research & Development Institute, Inc.",Advanced (Stage IIIB/IV) Non-small Cell Lung Cancer (NSCLC) With MET Exon 14 (METex14) Skipping Alterations or MET Amplification,"EMD Serono Research & Development Institute, Inc, a business of Merck KGaA, Darmstadt, Germany;","EMD Serono Research & Development Institute, Inc, a business of Merck KGaA, Darmstadt, Germany;"
NCT02865642,Cortical Ischemic Stroke and Serotonin,2016-00417;3070,"CISS: Cortical Ischemic Stroke and Serotonin - Effects of Serotonergic Neuromodulation on Behavioural Recovery and Motor Network Plasticity After Cortical Ischemic Stroke: a Longitudinal, Placebo-controlled Study","-Magnetresonanztomografisch bestätigter Schlaganfall mit dadurch entstandener Handfunktionsstörung
-ab 18 Jahren","-schwere Sprachstörung
-psychische Erkrankung
-Schwangersschaft",Drug: Serotonin Uptake Inhibitors;Drug: Placebo,"University Hospital Inselspital, Berne",Stroke,"Support Center of Advanced Neuroimaging Institute for Diagnostic and Interventional Neuroradiology Inselspital, University Hospital Bern;Neurology Department Kantonsspital St. Gallen;","Support Center of Advanced Neuroimaging Institute for Diagnostic and Interventional Neuroradiology Inselspital, University Hospital Bern;Neurology Department Kantonsspital St. Gallen;"
NCT02866838,Treatment of Intracerebral Hemorrhage in Patients on Non-vitamin K Antagonist,BASEC 2016-01251,Treatment of Intracerebral Hemorrhage in Patients on Non-vitamin K Antagonist Oral Anticoagulants (NOAC) With Tranexamic Acid,"- akute, innerhalb der letzten 12 Stunden aufgetretene Hirnblutung
- Patienten stehen unter Behandlung mit einem neuen oralen Antikoagulanz, das zuletzt innerhalb der letzten 48 Stunden eingenommen worden ist (Apixaban, Dabigatran, Edoxaban oder Rivaroxaban)
- Alter>18 Jahre
- Einverständniserklärung vorhanden","- Antikoagulation mit Vitamin K-Antagonisten
- Sekundäre intrazerebrale Blutung in Folge arteriovenöser Missbildung, Tumor, Trauma ect.
- Schwangerschaft",Drug: Tranexamic acid;Drug: Saline 0.9%,"University Hospital, Basel, Switzerland",Intracerebral Hemorrhage,"Stroke Center and Neurology, University Hospital Basel;Stroke Center and Neurology, University Hospital Basel;","Stroke Center and Neurology, University Hospital Basel;Stroke Center and Neurology, University Hospital Basel;"
NCT02869347,Recombinant Human C1 Esterase Inhibitor in the Prevention of Contrast-induced Nephropathy in High-risk Subjects,BASEC 2016-01112,"Recombinant Human C1 Esterase Inhibitor (Conestat Alfa) in the Prevention of Contrast-induced Nephropathy in High-risk Subjects (PROTECT): a Randomized, Placebo-controlled, Double-blind Single-center Trial","- Alter mind. 18 Jahre
- eingeschränkte Nierenfunktion
- mindestens ein weiterer Risikofaktor: Diabetes mellitus, Alter mind. 75 Jahre, Blutarmut, Herzschwäche, Lungenödem in der Vorgeschichte.","- Hasen- oder Kaninchenallergie
- Schwangerschaft und Stillzeit
- Kontrastmitteluntersuchung innerhalb der letzten 7 Tage",Drug: Conestat alfa;Drug: Sodium chloride 0.9%,"University Hospital, Basel, Switzerland",Acute Kidney Injury,"University Hospital Basel, Department of Infectious Diseases","University Hospital Basel, Department of Infectious Diseases"
NCT02869789,An Investigational Immuno-therapy Study for Safety of Nivolumab in Combination With Ipilimumab to Treat Advanced Cancers,2016-002621-10;CA209-817,A Phase 3b/4 Safety Trial of Flat Dose Nivolumab In Combination With Ipilimumab in Participants With Non-Small Cell Lung Cancer,"•	Histologisch bestätigtes Stadium 4 oder wiederkehrendes Nicht-kleinzelliges Lungenkarzinom
•	ECOG Grad 01 (körperlich dazu in der Lage leichte Hausarbeit oder Büroarbeit durchzuführen bis zu voller Aktivität wie vor der Krebserkrankung)
•	Keine vorhergehende systemische Krebstherapie (EGFR und ALK Inhibitoren eingeschlossen)
•	Gewebe oder PDL1 Ergebnisse verfügbar","•	Unbehandelte Gehirnmetastasen
•	Eine aktive bösartige Erkrankungen, die gleichzeitiger Behandlung bedarf
•	Aktive, bekannte oder vermutete Autoimmunerkrankung
•	Karzinomatöse Meningitis, dies bedeutet, dass der Krebs eine Entzündung der Gehirnhäute verursacht hat",Drug: Nivolumab in combination with Ipilimumab,Bristol-Myers Squibb,Lung Cancer,Bristol-Myers Squibb,Bristol-Myers Squibb
NCT02870972,Efficacy and Safety of BCX7353 to Prevent Angioedema Attacks in Subjects With Hereditary Angioedema,BCX7353-203,"A Randomized, Double-blind, Placebo-controlled, Dose-ranging, Parallel-group Study to Evaluate the Efficacy, Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of BCX7353 as a Preventative Treatment to Reduce the Frequency of Attacks in Subjects With Hereditary Angioedema","- Männer und nicht-schwangere, nicht-stillende Frauen im Alter zwischen 18 und 70 Jahren mit einer klinische Diagnose auf das hereditäre Angioödem von Typ 1 oder 2
- Alle TeilnehmerInnen müssen nachweisen können, dass sie unter HAE Attckane leiden und für Attacken Zugriff auf mindestens eines von der Zulassungsbehörde zugelassenen Medikaments zur Behandlung akuter HAE-Attacken sowie die Fähigkeit zu dessen korrekter Verwendung haben
- teilnehmende Frauen im gebärfähigen Alter müssen mindestens eine effektive Verhütungsmethode anwenden; teilnehmende Männer mit Partnerinnen im gebärfähigen Alter müssen mindestens eine effektive Verhütungsmethode anwenden","- Klinisch signifikante medizinische oder psychiatrische Beschwerden oder eine klinisch signifikante Krankheitsgeschichte, insbesondere Erkrankungen des Herzens, der Nieren und der Leber
-  Verwendung von C1-INH, Androgenen oder Tranexamsäure zum Zwecke der Vorbeugung gegen HAE-Attacken innerhalb eines Zeitraums von 7 Tagen vor dem Termin der Voruntersuchung oder die Aufnahme einer entsprechenden Verwendung zu irgendeinem Zeitpunkt während der Studie",Drug: BCX7353;Drug: Placebo;Drug: BCX7353;Drug: Placebo;Drug: BCX7353;Drug: Placebo;Drug: BCX7353;Drug: Placebo,BioCryst Pharmaceuticals,Hereditary Angioedema (HAE);Hereditary Angioedema (HAE);Hereditary Angioedema (HAE);Hereditary Angioedema (HAE),University Hospital Frankfurt Goethe University;University Hospital Frankfurt Goethe University;University Hospital Frankfurt Goethe University;University Hospital Frankfurt Goethe University;University Hospital Frankfurt Goethe University,University Hospital Frankfurt Goethe University;University Hospital Frankfurt Goethe University;University Hospital Frankfurt Goethe University;University Hospital Frankfurt Goethe University;University Hospital Frankfurt Goethe University
NCT02873936,Filgotinib Versus Placebo in Adults With Active Rheumatoid Arthritis (RA) Who Have an Inadequate Response to Biologic Disease-modifying Anti-rheumatic Drug(s) (DMARDs) Treatment,2016-000569-21;GS-US-417-0302,"A Randomized, Double-blind, Placebo-controlled, Multicenter, Phase 3 Study to Assess the Efficacy and Safety of Filgotinib Administered for 24 Weeks in Combination With Conventional Synthetic Disease-modifying Anti-rheumatic Drug(s) (csDMARDs) to Subjects With Moderately to Severely Active Rheumatoid Arthritis Who Have an Inadequate Response to Biologic DMARD(s) Treatment","- Männliche oder weibliche Patienten im Alter von ≥ 18 Jahren;
- mittelschwere bis stark aktive rheumatoide Arthritis;
- Vorliegen von ≥ 6 geschwollenen Gelenken;
- eine stabile laufende Behandlung der rheumatoiden Arthritis (nur bestimmte Medikamente zulässig).","- Vorbehandlung mit bestimmten Medikamenten;
- Impfung mit lebenden oder abgeschwächten Impfstoffen 30 Tage vor der Studienteilnahme oder eine geplante Impfung während der Teilnahme;
- chirurgische Behandlungen der rheumatoiden Arthritis von mehr als 4 Gelenken  und/oder innerhalb von 12 Wochen vor Beginn der Studienteilnahme; 
- Teilnahme an anderen Studien innerhalb von 4 Wochen vor Beginn der Studienteilnahme;
- andere unkontrollierte chronische Erkrankungen (z. B. Diabetes, Bluthochdruck, etc.)
- mittelschwere bis schwere Herzerkrankungen (z.B. Herzversagen, Schlaganfall, Herzinfarkt), bis zu 6 Monate vor dem Beginn der Studienteilnahme;
- eine größere Operation bis zu 12 Wochen vor dem Beginn der Studienteilnahme;
- andere schwere Erkrankungen oder Erkrankungen, die die Auswertung der Studienuntersuchungen stören können.",Drug: Filgotinib;Drug: Placebo to match filgotinib;Drug: csDMARDs,Gilead Sciences,Rheumatoid Arthritis,Gilead Sciences,Gilead Sciences
